Курс;Категория;Всего MB;Размер резервной копии MB 
дистанционное обучение МДК 01.01 20гр;Базовые дисциплины;12;0
Основы экономики;Базовые дисциплины;12;0
Метрология З/О;Базовые дисциплины;11;0
УП03 Приготовление,оформление и подготовка к реализации холодных блюд, кулинарных изделий, закусок р;Базовые дисциплины;11;0
МДК 03.02;Базовые дисциплины;11;0
Архитектура;Базовые дисциплины;11;0
Гражданское право;Базовые дисциплины;11;0
УП 2;Базовые дисциплины;10;0
Э-32 МДК 01.02.;Базовые дисциплины;10;0
Иностранный язык ЗО ;Базовые дисциплины;10;0
ОЭ Э-22 Леонова.Н.В;Профильные дисциплины;10;0
Инженерная графика;Базовые дисциплины;10;0
О 26 Наумова Т.А. ;Общеобразовательные дисциплины ;10;0
Основы психология ;Базовые дисциплины;10;0
МДК 02.02;Базовые дисциплины;10;0
Физическая культура 2021;Базовые дисциплины;9;0
Теория и методика С-27;Базовые дисциплины;9;0
Кулинария;Базовые дисциплины;9;0
НП-31 М.Д.К.03.02.;Базовые дисциплины;9;0
Мдк 03.02 НП-31;Базовые дисциплины;9;0
ПП.03;Профильные дисциплины;9;0
ИТ М-44;Профессиональный цикл;8;0
Английский П-26;Базовые дисциплины;8;0
Тех мех ;Базовые дисциплины;8;0
МДК.04.02;Базовые дисциплины;7;0
МДК 01.01 2021;Профессиональный цикл;7;0
электрические машины и аппараты;Базовые дисциплины;7;0
МДК 01.02 2021;Профессиональный цикл;7;0
Основы предпринимательства;Базовые дисциплины;7;0
МДК 01.01 Техническое обслуживание и ремонт автомобильного транспорта;Базовые дисциплины;7;0
УП 02 Группа С-27;Базовые дисциплины;7;0
ОП. 02 Слесарное дело.18 гр (Филиал);Базовые дисциплины;7;0
ПП 02 ;Базовые дисциплины;7;0
Задание НА ПП 01 продавцы;Базовые дисциплины;7;0
Техническое обслуживание и ремонт автомобильного транспорта»;Базовые дисциплины;7;0
Англ. яз НП-21 НП-23  НП-24;Базовые дисциплины;6;0
МДК.02.01 Ю-30 Пушкина.В.А;Профессиональный Модуль;6;0
Т. О.;Базовые дисциплины;6;0
УП02 П-36;Профильные дисциплины;6;0
Материаловедение;Базовые дисциплины;6;0
МДК 02.02 27;Базовые дисциплины;6;0
Электротехника(У-29);Базовые дисциплины;6;0
МДК 0101 НП11;Базовые дисциплины;6;0
ОТ У-29 Лежнев.Ю.И;Профильные дисциплины;6;0
Лекции по экологическому праву;Базовые дисциплины;5;0
Информатика Ю25;Базовые дисциплины;5;0
УП Ю-20;Базовые дисциплины;5;0
УП.04.01 У-29 Рахимова.Р.В;Профессиональный Модуль;4;0
МДК 04;Базовые дисциплины;4;0
1С:Программирование для начинающих МДК 02.02;Базовые дисциплины;4;0
Электротехника 20 группа (Филиал);Базовые дисциплины;4;0
ПОПД А-43 2021;Базовые дисциплины;4;0
МДК. 04.01. Организация процессов приготовления, подготовки к реализации и хранению холодных и горяч;Базовые дисциплины;4;0
МДК 04.01.2021;Профильные дисциплины;4;0
РЛ НП-15 Яковлева М.Н.;Общеобразовательные дисциплины ;4;0
Организация социальной работы в РФ;Базовые дисциплины;3;0
НП 21 МДК 02.01 ;Базовые дисциплины;3;0
Метрология Э-32;Базовые дисциплины;3;0
ПОПД У-49 Пушкина.А.М;Общепрофессиональный цикл;3;0
Английский;Базовые дисциплины;3;0
ОАИП П26;Базовые дисциплины;3;0
Стандартизация ;Базовые дисциплины;3;0
Информатика;Базовые дисциплины;3;0
Технологическое оборудование ЗОБ;Базовые дисциплины;3;0
ДЭ 09.02.07 23;Профессиональный цикл;3;0
ТП;Базовые дисциплины;3;0
Психология общения;Базовые дисциплины;3;0
Английский П-36;Базовые дисциплины;2;0
МДК.02.02 С-27 Румянцева.О.В;Профессиональный Модуль;2;0
ПО П-26 Румянцева.О.В;Общепрофессиональный цикл;2;0
для профессии НПО 43.01.09 Повар, кондитер;Базовые дисциплины;2;0
УП Итоговое;Базовые дисциплины;2;0
МДК 04.01 36 группа (Филиал);Базовые дисциплины;2;0
Английский язык Э-22;Базовые дисциплины;2;0
Основы схемотехники;Базовые дисциплины;2;0
Метрология М-24;Базовые дисциплины;2;0
МДК 01.04 эл ЗО ;Базовые дисциплины;2;1
МДК.02.01 НП21 Лебедева.И.Д;Профессиональный Модуль;2;0
Технология отрасли;Базовые дисциплины;2;0
МДК 04.01.2022;Профильные дисциплины;2;0
ПОПД;Базовые дисциплины;2;0
 Web приложения;Профильные дисциплины;2;0
МДК 03.01. Организация деятельности производственного подразделения;Базовые дисциплины;2;0
Электронная библиотека;Базовые дисциплины;2;0
Ин.язык. Эдиберидзе Л.Г.;Профессиональный Модуль;2;0
АП У-49 Пушкина.А.М;Профильные дисциплины;2;0
Правила дорожного движения (Филиал);Базовые дисциплины;2;0
КГ У-29 Горохова.С.В;Профильные дисциплины;2;0
МДК.02.03 С-27 Николаева.С.В;Профессиональный Модуль;2;0
Эффективное поведение Андреева;Базовые дисциплины;2;0
МДК 01.01 2022;Профессиональный цикл;1;0
СП;Базовые дисциплины;1;0
ПМ 09.02.03;Базовые дисциплины;1;0
Английский язык У-29;Базовые дисциплины;1;0
Операционные системы;Базовые дисциплины;1;0
МРОД;Профессиональный цикл;1;0
ГП;Базовые дисциплины;1;0
Английский язык М-34;Базовые дисциплины;1;0
МДК 01.02 2022;Профессиональный цикл;1;0
Приготовление;Базовые дисциплины;1;0
Трудовое право ЗО;Базовые дисциплины;1;0
Химия 16 2021;Базовые дисциплины;1;0
МДК.03.02 У-49 Рахимова.Р.В;Профессиональный Модуль;1;0
УП 03 08.01.14;Базовые дисциплины;1;0
МДК 02.01. 38 группа (Филиал);Базовые дисциплины;1;0
 МДК 02.01. 37 группа (Филиал);Базовые дисциплины;1;0
"МДК 02.02 ""Процессы приготовления, подготовки к реализации и презентации горячих блюд""";Базовые дисциплины;1;0
Основы Профессионального творчества НП-23;Базовые дисциплины;1;0
ПО Румянцева.О.В 4эл;Общепрофессиональный цикл;1;0
МДК 03.01 (заочное отделение) специальность 13.02.11;Профессиональный цикл;1;0
Немецкий язык;Базовые дисциплины;1;0
МДК 01 продавцы;Базовые дисциплины;1;0
МДК 02.01 продавцы;Базовые дисциплины;1;0
УП 22;Базовые дисциплины;1;0
МДК 03.01 НП-35;Базовые дисциплины;1;0
УК;Базовые дисциплины;1;0
Английский язык М-24;Базовые дисциплины;1;0
МДК 01.01 «Технология перевозочного процесса»;Базовые дисциплины;1;0
Мате-ка Ю-20 Токар М.Й;Общеобразовательные дисциплины ;1;0
ПМ 02. Организация деятельности коллектива исполнителей ;Профессиональный Модуль;1;0
Английский язык  3;Базовые дисциплины;1;0
Английский язык Э-32;Базовые дисциплины;1;0
ПП.03 2021;Профессиональный цикл;1;0
Диплом Я.Ж.С.2021;Профессиональный цикл;1;0
Деловое общение и этика;Базовые дисциплины;1;0
М НП-15 Ткачева.Ю.С;Общеобразовательные дисциплины ;1;0
УП М-34;Базовые дисциплины;1;0
МДК 04.01 «Выполнение работ по профессии диспетчер автомобильного транспорта»;Базовые дисциплины;1;0
Диплом М.А.А.2021;Профессиональный цикл;1;0
ИнЯзык Эдиберидзе Л.Г;Общеобразовательные дисциплины ;1;0
ПП 01 НП25;Базовые дисциплины;1;0
И 18 Наумова Т.А.;Общеобразовательные дисциплины ;1;0
Повар;Базовые дисциплины;1;0
МДК 05.01 33 группа (Филиал);Базовые дисциплины;1;0
Учебная практика 04.01;Базовые дисциплины;1;0
ОП.01;Базовые дисциплины;1;0
Диплом П.В.А.2021;Профессиональный цикл;1;0
Технический ;Базовые дисциплины;1;0
ПП У-29;Базовые дисциплины;1;0
ОЭиПОПД Самохина Е.А.;Общепрофессиональный цикл;1;0
ГражПраво  Самохина Е.А;Общепрофессиональный цикл;1;0
УП У-29;Базовые дисциплины;1;0
Эф. поведение;Базовые дисциплины;1;0
Основы бух учета;Базовые дисциплины;1;0
И У-19 Ивлев Д.М.;Общеобразовательные дисциплины ;1;0
Тех.Отрасли;Базовые дисциплины;1;0
 Теория вероятностей и математическая статистика;Базовые дисциплины;1;0
МДК.03.01 Петрова.Г.А;Профессиональный Модуль;1;0
ТП Ю-30 Самохина Е.А;Профильные дисциплины;1;0
УК Хрусталева С.Н.;Базовые дисциплины;1;0
МДК.01.02 К-28 Выборнова А.М.;Профессиональный Модуль;1;0
МДК 01.04 эл ЗО бюджет;Базовые дисциплины;1;0
МДК.01.04 П-36 Плискин.В.А;Профессиональный Модуль;1;0
М НП-11 Малышева.А.А;Общеобразовательные дисциплины ;1;0
ПДП.2021;Профессиональный цикл;1;0
Ф 16 Арцыбашева И.И.;Общеобразовательные дисциплины ;1;0
Математика Ю-25 Пронина С.В.;Общеобразовательные дисциплины ;1;0
И 16 Наумова Т.А.;Общеобразовательные дисциплины ;1;0
ПП.04;Профессиональный цикл;1;0
МДК.01.01 У-29 Рахимова.Р.В;Профессиональный Модуль;1;0
МДК.04.01 У-29 Рахимова.Р.В;Профессиональный Модуль;1;0
МДК.02.01 С-27 Пушкина.А.М;Профессиональный Модуль;1;0
МДК.01.01 А-23 2021 Бойков Ю.А.;Профессиональный Модуль;1;0
ОУИД С-37 Григорьева.М.В;Общеобразовательные дисциплины ;1;0
МДК.03.01 М-44 Григорьева.М.В;Профессиональный Модуль;1;0
